# concept	prose pattern	identifier pattern	landmarks (curated)	search alias
function extensionality	function(al)? extensionality	funext|FunExt|Fun-Ext|dfunext	funext, Fun-Ext, dfunext
dominance	dominance	[Dd]ominance|dominant	is-dominance, is-dominance', Dominance
category	category theory|categor	[Cc]ategor	Precategory, is-univalent-precategory
displayed category	displayed categor	[Dd]isplayed	is-displayed-univalent-refl-graph, is-displayed-category, is-displayed-category-is-prop
adjunction	(left|right) adjoint|adjunction	adjoint|adjunction	adjunction, adjunction-inequality-forward, adjunction-inequality-backward
universal property	universal property	universal|universality	/-universality, is-universal-element-of, universality
mediating map	mediating map	mediating	mediating-map/, mediating-map, Idl-mediating
functor	functor	[Ff]unctor	K-functor, functor-map, 𝓞-functor
natural transformation	natural transformation	natural	pullback-naturality, is-natural, ·-natural
wild category	wild categor	[Ww]ild	WildCategoryNotation, WildCategory, wildcatobj
duploid	duploid	[Dd]uploid	preduploid, duploid, preduploid-axioms
crossed module	crossed module	[Cc]rossed	CrossedModule, CrossedModuleHom
constructive set theory	constructive set theory		
iterative set	iterative (set|multiset)	𝕍|𝕄|iterative	𝕍ᵒʳᵈ, 𝕍-set, Ord-to-𝕍
cumulative hierarchy	cumulative hierarchy	cumulative	cumulative, cumulative⁺, cumulative-hierarchy-exists
set quotient	set quotients?	[Qq]uotient	set-quotients-exist, are-effective, set-replacement-gives-effective-set-quotients
Dedekind reals	dedekind real	ℝ|[Dd]edekind	ℝ, being-dedekind-is-prop, dedekind-agrees-with-troelstra
rational numbers	rational	ℚ|[Rr]ational	ℚ, is-rational, is-irrational
dyadic rationals	dyadic	[Dd]yadic	Dyadics
integers	integers	ℤ|[Ii]nteger	succℤ, succ-ℤ, predℤ
natural numbers	natural numbers	ℕ|[Nn]atural	ℕ, ℕ-induction
selection function	selection function	selection|_J_|\bJ\b	J, sequenceᴶ
dialogue tree	dialogue tree	[Dd]ialogue	dialogue-tree, dialogue-tree-correct, dialogue-UC
effectful forcing	effectful forcing		
System T	system t\b	ᵀ$|ᵀ-|⌜|TΩ	TΩ, ⟦_⟧
Kleisli extension	kleisli	[Kk]leisli	⌜Kleisli-extension⌝, kleisli-extension, Kleisli-extension
monad	monad	[Mm]onad	Monad, Kleisli-extension
game	\bgame\b|game tree	[Gg]ame	GameJ, Game, game-tree
alpha-beta pruning	alpha.beta|α.β		
Lawvere fixed point theorem	lawvere|fixed point theorem	LFPT|[Ll]awvere|fixed-point	LFPT, lfix-is-fixed-point, LFPT-＝
Higgs involution theorem	higgs	[Hh]iggs	higgs-involution-theorem
apartness	apartness	apart	is-apartness, is-strong-apartness, ♯-is-apartness
tight apartness	tight apartness	tight	is-tight, tight, ♯-is-tight
metric space	metric space	[Mm]etric	metric-space, is-symmetric, symmetric
closeness space	closeness	closeness	is-closeness, is-closeness-space, ℕ∞-closeness
path sequence	path sequences?	≡|path-seq	path-sequence, ≡-to-＝, path-sequenceₛ
Curry-Howard	curry.howard	Curry	Curry-Howard-EM, PL-gives-Curry-Howard-EM, Curry-Howard-EM-gives-PL
logical relation	logical relation		
PCF	\bPCF\b	PCF	PCF, peano-axiom-for-PCF
computational adequacy	computational adequa|adequa	adequacy	adequacy-step, adequacy-lubs, adequacy-pred
factorial	factorial	[Ff]actorial	factorial-base, discrete-factorial, general-factorial
pigeonhole principle	pigeon	[Pp]igeon	pigeon-program, Finite-Pigeonhole, Pigeonhole
W-type	w.type|well.founded tree	\bW\b|W-type	W, W-induction
partial element	partial element	partial	is-partial-order, expᴸ-map-is-partially-surjective, partial-orderedness-of
Sierpinski	sierpinski	𝕊|[Ss]ierpinski	has-the-universal-property-of-sierpinski, universal-property-of-sierpinski, 𝕊
HoTT/UF	\bHoTT\b|\bUF\b
spartan MLTT	spartan mltt			MLTT
unit type	unit type|type 𝟙	^𝟙$|𝟙-is|unique-to-𝟙	𝟙, 𝟙-is-prop, unique-to-𝟙
empty type	empty type|type 𝟘	^𝟘$|𝟘-is|empty-type|is-empty	is-empty, is-empty-subset, 𝟘
two-element type	type 𝟚|boolean	^𝟚$|𝟚-is|Bool	𝟚, 𝟚-is-discrete, Bool
type family	type family|families of types	family|_/_$	is-prop-valued-family, is-univalent-family, is-located-family
identity function	identity function|identity map	^id$|^id-|^identity	id-≃, id-is-equiv, id-is-embedding
logical equivalence	logical(ly)? equivalen	↔|logically-equivalent	_↔_, logically-equivalent-props-are-equivalent, decidable-↔
universe level	universe level|universe polymorph	Universe|universe-	is-universe-embedding, universe-refl-graph, Lift-is-universe-embedding
subtype classifier	subtype classifier|type of truth values	^Ω$|Ω-is|SubtypeClassifier	Ω, Ω-is-set, 𝟚-to-Ω-is-embedding
image	image of a (map|function)|surjection	image|surject	is-surjection, is-perfect-image, is-perfect-image-at
inhabited type	inhabited type	inhabited	is-inhabited, is-thinly-inhabited, is-hereditarily-inhabited
upper bound	upper bound	upper-bound|is-upperbound	is-upperbound, has-upper-bound-in, is-closed-under-binary-upper-bounds
least element	least element	least|⊥-is	has-trichotomous-least-element, is-least, has-least
greatest element	top element|greatest element	^⊤|top-|greatest	is-greatest, ⊤, ∧[_]-greatest
directed family	directed famil|semidirected	directed	is-directed, is-semidirected, is-directed-complete
monotone map	monotone|order preserving	monotone|order-preserving	is-order-preserving, is-monotone, is-monotone-endomap
continuous map	continuous (map|function)|scott continu	is-continuous|continuity	is-continuous, is-continuous-dcpo, is-continuous₀
supremum	supremum|least upper bound	sup|⋁	is-sup, is-sup-complete, is-σ-suplat-hom
Scott topology	scott topolog	Scott|scott	is-scott-continuous, is-scott-open, is-scott-domain
Scott domain	scott domain	ScottDomain|scott-domain	is-scott-domain, DefinitionOfScottDomain
nucleus	nucleus|nuclei	[Nn]ucleus|nuclei	is-nucleus, is-prenucleus, Perfect-Nucleus
patch locale	patch	[Pp]atch	Patch⦅Scott⦅𝓓⦆⦆, ℬ-patch, PatchConstruction
Stone duality	stone|spectral duality	[Ss]tone|duality	is-stone, stoneᴰ, clopen-iff-compact-in-stone-frame
spectrality	spectral	[Ss]pectral	is-spectral, is-spectral-with-small-basis, is-spectral-map
sup-lattice	sup.lattice	sup-lattice|Sup-Lattice	is-sup-lattice, Sup-Lattice, sup-lattice-data
σ-frame	σ.frame|sigma.frame	σ-[Ff]rame	is-σ-frame-hom, is-σ-frame-homomorphism, σ-Frame
Heyting implication	heyting	[Hh]eyting|⟹	is-heyting-implication-of, is-heyting-implication-operation, _⟹ᵈᶜᵖᵒ_
binary meet	binary meet|meet	meet	meet-of, meet-of-ba, meet
binary join	binary join|join	join	has-finite-joins, is-join-preserving, is-inaccessible-by-directed-joins
ordinal addition	ordinal addition|addition of ordinals	\+ₒ	_+ₒ_, +ₒ-↓-left, +ₒ-left-cancellable
ordinal multiplication	ordinal multiplication|multiplication of ordinals	×ₒ	_×ₒ_, ×ₒ-↓, ×ₒ-preserves-suprema
Brouwer codes	brouwer (code|tree|ordinal)	[Bb]rouwer	Brouwer, brouwer-to-oe, brouwer-code
Kuratowski finiteness	kuratowski	[Kk]uratowski	is-Kuratowski-finite-subset, is-Kuratowski-finite, is-Kuratowski-finite-subsetₚ
Dedekind finiteness	dedekind.finite	Dedekind-finite	is-Dedekind-finite, wconnected-types-are-Dedekind-finite, Ω-is-Dedekind-finite
quasidecidable	quasidecidable	quasidecidable|Quasidecidable	is-quasidecidable, is-quasidecidable₀, is-quasidecidable'
semidecidable	semidecidable	semidecidable	is-semidecidable, is-semidecidable-cong, is-semidecidable'
complemented subset	complemented	complemented	is-complemented, is-complemented-subset, is-complemented-map
decidable proposition	decidab	is-decidable|decidability	is-decidable, is-decidableₚ, is-decidable-order
signed digit	signed digit|ternary	signed|ternary	ternary-nested, ternary-normalised→𝕋, ternary
interval object	interval object|midpoint	[Mm]idpoint|interval	is-interval-object, is-closed-under-big-midpoint, is-closed-under-midpoint
initial binary system	binary system	[Bb]inaryS?ystem|binary-system	binary-system-structure, binary-system-axioms
